id,caminho_original,nome_original,extensao,nome_proposto,categoria,status_antes_da_execucao,sha256
012,Photos-3-001/unnamed (5).webp,unnamed (5).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-01.webp,05_CAMINHONETES,seguro_para_renomeacao,232DA2BBEAAE18DC11EA47BC67713D9B4332FC59B2E06CAEACA39FD95F50E2FC
013,Photos-3-001/unnamed (6).webp,unnamed (6).webp,webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,11_VEICULOS_ANTIGOS,seguro_para_renomeacao,141904826985FE685F824FE7030ADD220B4FC527B482FF299A566308FEEFEA44
014,Photos-3-001/unnamed (7).webp,unnamed (7).webp,webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-01.webp,02_HERO,seguro_para_renomeacao,829048DB86245F4ABAEDDBFF4F3A8D650AD766D27860679656CB7DFD1A557CC0
015,Photos-3-001/unnamed (8).webp,unnamed (8).webp,webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,13_PEQUENOS_CAMINHOES,seguro_para_renomeacao,2B28D571C7C85A0205A5C6F5B37C2E787A43139A8154AABA2350854CBFB666CE
016,Photos-3-001/unnamed (9).webp,unnamed (9).webp,webp,unnamed (9).webp,10_MAQUINAS_AGRICOLAS,pendente_revisao,9D5D978109A69277B563D496E5158EF5EC8DFC08FBCB7112A876E07F7FDE7997
017,Photos-3-001/unnamed (10).webp,unnamed (10).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-04.webp,04_CARROS,seguro_para_renomeacao,A569704D27C61C46B1A45334D0CFA44684A1DF2A79B28678A916F4DAC1E09D7D
018,Photos-3-001/unnamed (11).webp,unnamed (11).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp,05_CAMINHONETES,seguro_para_renomeacao,5FE55B95D5C1A369F3B5A7386FFB16191F8C530BFCA0178FBC29CAAE21B939E7
019,Photos-3-001/unnamed (12).webp,unnamed (12).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-05.webp,04_CARROS,seguro_para_renomeacao,BDB919FA3D16DA1303F69742FDCDBFE6E0854F4CAD46E87CC1C842B12AD7D180
020,Photos-3-001/unnamed (13).webp,unnamed (13).webp,webp,marcus-reboque-transporte-barco-fortaleza-ce-01.webp,09_BARCOS_E_JET_SKIS,seguro_para_renomeacao,8FF1CA537A007776B25500496AC783250F9797DEBBD76F9E5F76DA3EC1A354BD
021,Photos-3-001/unnamed (14).webp,unnamed (14).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-06.webp,04_CARROS,seguro_para_renomeacao,40DE5C410370AC5476CA867A4FC2243849AF2EE238DA7E3D35ACB8931A9FB2F5
